t,x
48441,1.749549637336279e-05
48442,1.738958427065798e-05
48443,1.727766353191171e-05
48444,1.7164336642185154e-05
48445,1.70533433360961e-05
48446,1.6941934711669477e-05
48447,1.682849022307086e-05
48448,1.671756981699854e-05
48449,1.6612258720549795e-05
48450,1.6507622818951645e-05
48451,1.63963493323112e-05
48452,1.6275750355603456e-05
48453,1.6146544664418965e-05
48454,1.6009535786005662e-05
48455,1.5864814385703296e-05
48456,1.571300257631499e-05
48457,1.555691633839457e-05
48458,1.5402258678976957e-05
48459,1.525650115833167e-05
48460,1.512511444439015e-05
48461,1.5009390304496757e-05
48462,1.4907790376391381e-05
48463,1.4815141565331182e-05
48464,1.4723074135742978e-05
48465,1.4626798786876645e-05
48466,1.4526111698130211e-05
48467,1.4419716626692893e-05
48468,1.4305616991234007e-05
48469,1.418334633834802e-05
48470,1.4054045862347138e-05
48471,1.3920347909853496e-05
48472,1.3783149839907251e-05
48473,1.3641153315700293e-05
48474,1.3493692452445343e-05
48475,1.334086420138277e-05
48476,1.3183179175549647e-05
48477,1.3020868826696093e-05
48478,1.2854409390294654e-05
48479,1.268523292497986e-05
48480,1.2514701307350287e-05
48481,1.2345268205574165e-05
48482,1.2180738792882908e-05
48483,1.2020917908634715e-05
48484,1.1863008249343215e-05
48485,1.1709117145343428e-05
48486,1.1563059229035697e-05
48487,1.1425629243972623e-05
48488,1.1295638192292643e-05
48489,1.117183888519647e-05
48490,1.1054757282161788e-05
48491,1.0944047971078977e-05
48492,1.083502975781077e-05
48493,1.0723398594568075e-05
48494,1.0609866999957826e-05
48495,1.0494964751283183e-05
48496,1.0378416296055353e-05
48497,1.0263388478812138e-05
48498,1.0151865990594428e-05
48499,1.00413511457362e-05
48500,9.928993485429305e-06
48501,9.815742061478275e-06
48502,9.705296272328352e-06
48503,9.597356252598214e-06
48504,9.489554282600168e-06
48505,9.383935956892821e-06
48506,9.281653456321686e-06
48507,9.179722153109035e-06
48508,9.075436790145316e-06
48509,8.96805851134464e-06
48510,8.85836147268643e-06
48511,8.747820798920823e-06
